date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:04	393539/393539	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:10:02%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3759	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index2a90.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:08	311452/311452	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:11:06%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3799	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3799.89b.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:10	2749/2749	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2028%20Jun%202023%2012:10:34%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3740	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index63bf.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:13	393504/393504	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:11:11%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?stock_status=instock	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/indexd5c4.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:16	311202/311202	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:11:14%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3869	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3869	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:21	364762/364762	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:11:17%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?on_sale=onsale	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index8ae6.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:24	395717/395717	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:10:23%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3741	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/index8a9b.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:28	313612/313612	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:11:25%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3874	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3874.89d.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:33	394608/394608	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:11:29%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/?add-to-cart=3869	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/indexb5e6.html	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
17:41:36	313612/313612	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Jun%202023%2012:11:35%20GMT	https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3882	E:/web%20clone/saksham%20art%20and%20science/sakshamdiy.in/product-category/robotics-aeromodelling/page/3/3882.89e.delayed	(from https://sakshamdiy.in/product-category/robotics-aeromodelling/page/3/)
